accidentId,areaId,timestamp,severity,segmentId
A-01-001,1,2026-03-22T18:00:00+00:00,4,A01-S01
A-01-002,1,2026-03-23T09:00:00+00:00,2,
A-01-003,1,2026-03-20T09:00:00+00:00,3,A01-S02
A-01-004,1,2026-03-17T02:00:00+00:00,3,
A-01-005,1,2026-03-16T21:00:00+00:00,3,A01-S03
A-01-006,1,2026-03-21T14:00:00+00:00,1,
A-01-007,1,2026-03-22T07:00:00+00:00,2,A01-S02
A-01-008,1,2026-03-21T15:00:00+00:00,3,A01-S03
A-01-009,1,2026-03-20T20:00:00+00:00,3,A01-S04
A-01-010,1,2026-03-21T13:00:00+00:00,3,A01-S02
A-01-011,1,2026-03-22T07:00:00+00:00,3,A01-S04
A-02-001,2,2026-03-23T03:00:00+00:00,1,
A-02-002,2,2026-03-23T05:00:00+00:00,2,
A-02-003,2,2026-03-15T14:00:00+00:00,2,A02-S02
A-02-004,2,2026-03-20T09:00:00+00:00,1,A02-S04
A-02-005,2,2026-03-14T03:00:00+00:00,3,A02-S04
A-02-006,2,2026-03-18T01:00:00+00:00,2,A02-S03
A-02-007,2,2026-03-23T08:00:00+00:00,2,A02-S03
A-02-008,2,2026-03-16T22:00:00+00:00,3,A02-S03
A-02-009,2,2026-03-22T17:00:00+00:00,1,A02-S04
A-02-010,2,2026-03-18T04:00:00+00:00,1,A02-S02
A-03-001,3,2026-03-21T06:00:00+00:00,2,A03-S04
A-03-002,3,2026-03-21T00:00:00+00:00,3,A03-S04
A-03-003,3,2026-03-13T16:00:00+00:00,1,A03-S03
A-03-004,3,2026-03-17T10:00:00+00:00,1,A03-S04
A-04-001,4,2026-03-17T17:00:00+00:00,3,A04-S03
A-04-002,4,2026-03-17T09:00:00+00:00,3,A04-S02
A-04-003,4,2026-03-21T21:00:00+00:00,1,A04-S04
A-04-004,4,2026-03-21T04:00:00+00:00,1,A04-S03
A-05-001,5,2026-03-17T07:00:00+00:00,1,A05-S02
A-05-002,5,2026-03-16T14:00:00+00:00,2,A05-S03
A-05-003,5,2026-03-16T09:00:00+00:00,2,A05-S01
A-05-004,5,2026-03-19T22:00:00+00:00,1,A05-S01
A-06-001,6,2026-03-22T11:00:00+00:00,3,A06-S01
A-06-002,6,2026-03-23T00:00:00+00:00,4,A06-S02
A-06-003,6,2026-03-15T23:00:00+00:00,2,A06-S02
A-06-004,6,2026-03-14T10:00:00+00:00,2,A06-S02
A-06-005,6,2026-03-15T03:00:00+00:00,4,A06-S01
A-06-006,6,2026-03-15T21:00:00+00:00,3,A06-S02
A-06-007,6,2026-03-14T05:00:00+00:00,1,A06-S04
A-06-008,6,2026-03-20T07:00:00+00:00,3,
A-07-001,7,2026-03-17T20:00:00+00:00,2,A07-S03
A-07-002,7,2026-03-20T05:00:00+00:00,3,A07-S01
A-07-003,7,2026-03-23T01:00:00+00:00,2,
A-07-004,7,2026-03-13T17:00:00+00:00,2,
A-08-001,8,2026-03-20T21:00:00+00:00,2,A08-S04
A-08-002,8,2026-03-16T16:00:00+00:00,1,A08-S04
A-08-003,8,2026-03-15T12:00:00+00:00,1,A08-S02
A-08-004,8,2026-03-21T04:00:00+00:00,3,A08-S02
A-09-001,9,2026-03-22T22:00:00+00:00,3,A09-S01
A-09-002,9,2026-03-23T02:00:00+00:00,2,A09-S01
A-09-003,9,2026-03-20T11:00:00+00:00,3,A09-S01
A-09-004,9,2026-03-20T11:00:00+00:00,3,A09-S01
A-10-001,10,2026-03-22T21:00:00+00:00,3,A10-S03
A-10-002,10,2026-03-22T17:00:00+00:00,4,A10-S01
A-10-003,10,2026-03-16T13:00:00+00:00,3,A10-S01
A-10-004,10,2026-03-22T21:00:00+00:00,4,A10-S04
A-11-001,11,2026-03-16T03:00:00+00:00,2,A11-S03
A-11-002,11,2026-03-13T12:00:00+00:00,1,A11-S02
A-11-003,11,2026-03-17T17:00:00+00:00,1,A11-S01
A-11-004,11,2026-03-23T11:00:00+00:00,3,A11-S01
A-12-001,12,2026-03-20T21:00:00+00:00,3,A12-S01
A-12-002,12,2026-03-13T12:00:00+00:00,1,A12-S02
A-12-003,12,2026-03-13T15:00:00+00:00,1,A12-S01
A-12-004,12,2026-03-22T20:00:00+00:00,3,A12-S04
A-13-001,13,2026-03-18T20:00:00+00:00,3,A13-S02
A-13-002,13,2026-03-14T02:00:00+00:00,1,
A-13-003,13,2026-03-16T23:00:00+00:00,3,
A-13-004,13,2026-03-21T07:00:00+00:00,1,A13-S04
A-14-001,14,2026-03-18T02:00:00+00:00,2,A14-S04
A-14-002,14,2026-03-21T14:00:00+00:00,2,A14-S01
A-14-003,14,2026-03-20T20:00:00+00:00,1,A14-S01
A-14-004,14,2026-03-22T16:00:00+00:00,2,A14-S02
A-15-001,15,2026-03-17T00:00:00+00:00,3,
A-15-002,15,2026-03-15T16:00:00+00:00,3,
A-15-003,15,2026-03-19T18:00:00+00:00,3,A15-S01
A-15-004,15,2026-03-17T20:00:00+00:00,1,A15-S01
