constructionId,areaId,startTime,endTime,severity,segmentId
C-01-001,1,2026-03-21T12:00:00+00:00,2026-04-05T12:00:00+00:00,1,
C-02-001,2,2026-03-29T12:00:00+00:00,2026-03-31T12:00:00+00:00,2,A02-S03
C-02-002,2,2026-03-25T12:00:00+00:00,2026-03-31T12:00:00+00:00,2,
C-03-001,3,2026-03-12T12:00:00+00:00,2026-03-16T12:00:00+00:00,1,A03-S02
C-03-002,3,2026-03-04T12:00:00+00:00,2026-03-15T12:00:00+00:00,1,A03-S03
C-04-001,4,2026-03-11T12:00:00+00:00,2026-03-26T12:00:00+00:00,2,A04-S02
C-04-002,4,2026-03-17T12:00:00+00:00,2026-03-29T12:00:00+00:00,1,
C-04-003,4,2026-03-09T12:00:00+00:00,2026-03-17T12:00:00+00:00,1,A04-S02
C-05-001,5,2026-03-07T12:00:00+00:00,2026-03-09T12:00:00+00:00,2,
C-05-002,5,2026-03-09T12:00:00+00:00,2026-03-17T12:00:00+00:00,2,
C-06-001,6,2026-03-11T12:00:00+00:00,2026-03-26T12:00:00+00:00,2,A06-S04
C-07-001,7,2026-03-29T12:00:00+00:00,2026-03-31T12:00:00+00:00,2,A07-S04
C-07-002,7,2026-03-07T12:00:00+00:00,2026-03-24T12:00:00+00:00,2,
C-07-003,7,2026-03-10T12:00:00+00:00,2026-03-13T12:00:00+00:00,2,A07-S03
C-07-004,7,2026-03-09T12:00:00+00:00,2026-03-12T12:00:00+00:00,4,
C-07-005,7,2026-03-26T12:00:00+00:00,2026-04-15T12:00:00+00:00,3,A07-S03
C-08-001,8,2026-03-28T12:00:00+00:00,2026-04-03T12:00:00+00:00,3,A08-S01
C-09-001,9,2026-03-08T12:00:00+00:00,2026-03-14T12:00:00+00:00,2,A09-S03
C-10-001,10,2026-03-26T12:00:00+00:00,2026-04-10T12:00:00+00:00,2,
C-11-001,11,2026-03-06T12:00:00+00:00,2026-03-23T12:00:00+00:00,1,A11-S04
C-12-001,12,2026-03-06T12:00:00+00:00,2026-03-13T12:00:00+00:00,2,A12-S02
C-13-001,13,2026-03-07T12:00:00+00:00,2026-03-24T12:00:00+00:00,1,A13-S03
C-14-001,14,2026-03-08T12:00:00+00:00,2026-03-14T12:00:00+00:00,2,
C-15-001,15,2026-03-15T12:00:00+00:00,2026-04-03T12:00:00+00:00,2,A15-S03
C-15-002,15,2026-03-19T12:00:00+00:00,2026-03-25T12:00:00+00:00,3,A15-S04
C-15-003,15,2026-03-21T12:00:00+00:00,2026-03-25T12:00:00+00:00,1,
C-15-004,15,2026-03-06T12:00:00+00:00,2026-03-12T12:00:00+00:00,4,A15-S04
