segmentId,linkId,areaId,hotspotName,roadType,criticalityWeight,freeFlowSpeedKph,lengthKm,isTouristic,isCommuter
A01-S01,L-A01-S01,1,Autobahn 1-1,motorway,0.994,110,7.95,0,1
A01-S02,L-A01-S02,1,Schnellstraße 1-2,schnellstrasse,0.894,100,6.44,0,1
A01-S03,L-A01-S03,1,Pendlerachse 1-3,pendlerachse,0.794,80,4.46,0,1
A01-S04,L-A01-S04,1,Regionalachse 1-4,regional,0.694,70,4.05,0,1
A02-S01,L-A02-S01,2,Autobahn 2-1,motorway,0.99,110,7.96,0,1
A02-S02,L-A02-S02,2,Schnellstraße 2-2,schnellstrasse,0.89,100,5.98,0,1
A02-S03,L-A02-S03,2,Pendlerachse 2-3,pendlerachse,0.79,80,4.62,0,1
A02-S04,L-A02-S04,2,Regionalachse 2-4,regional,0.69,70,3.71,0,1
A03-S01,L-A03-S01,3,Autobahn 3-1,motorway,0.93,110,7.92,0,0
A03-S02,L-A03-S02,3,Schnellstraße 3-2,schnellstrasse,0.83,100,6.54,0,0
A03-S03,L-A03-S03,3,Pendlerachse 3-3,pendlerachse,0.73,80,4.58,0,1
A03-S04,L-A03-S04,3,Regionalachse 3-4,regional,0.63,70,4.21,0,0
A04-S01,L-A04-S01,4,Autobahn 4-1,motorway,0.95,110,8.23,0,0
A04-S02,L-A04-S02,4,Schnellstraße 4-2,schnellstrasse,0.85,100,6.54,0,0
A04-S03,L-A04-S03,4,Pendlerachse 4-3,pendlerachse,0.75,80,4.24,0,1
A04-S04,L-A04-S04,4,Regionalachse 4-4,regional,0.65,70,3.44,0,0
A05-S01,L-A05-S01,5,Autobahn 5-1,motorway,0.966,110,8.09,0,1
A05-S02,L-A05-S02,5,Schnellstraße 5-2,schnellstrasse,0.866,100,6.96,0,1
A05-S03,L-A05-S03,5,Pendlerachse 5-3,pendlerachse,0.766,80,4.51,0,1
A05-S04,L-A05-S04,5,Regionalachse 5-4,regional,0.666,70,3.76,0,1
A06-S01,L-A06-S01,6,Autobahn 6-1,motorway,0.982,110,8.19,0,1
A06-S02,L-A06-S02,6,Schnellstraße 6-2,schnellstrasse,0.882,100,5.99,0,1
A06-S03,L-A06-S03,6,Pendlerachse 6-3,pendlerachse,0.782,80,4.39,0,1
A06-S04,L-A06-S04,6,Regionalachse 6-4,regional,0.682,70,3.97,0,1
A07-S01,L-A07-S01,7,Autobahn 7-1,motorway,0.976,110,8.31,0,1
A07-S02,L-A07-S02,7,Schnellstraße 7-2,schnellstrasse,0.876,100,6.42,0,1
A07-S03,L-A07-S03,7,Pendlerachse 7-3,pendlerachse,0.776,80,4.63,0,1
A07-S04,L-A07-S04,7,Regionalachse 7-4,regional,0.676,70,3.89,0,1
A08-S01,L-A08-S01,8,Autobahn 8-1,motorway,0.954,110,8.27,0,0
A08-S02,L-A08-S02,8,Schnellstraße 8-2,schnellstrasse,0.854,100,6.11,0,0
A08-S03,L-A08-S03,8,Pendlerachse 8-3,pendlerachse,0.754,80,4.7,0,1
A08-S04,L-A08-S04,8,Regionalachse 8-4,regional,0.654,70,3.27,0,0
A09-S01,L-A09-S01,9,Autobahn 9-1,motorway,0.986,110,7.08,1,1
A09-S02,L-A09-S02,9,Schnellstraße 9-2,schnellstrasse,0.886,100,6.29,1,1
A09-S03,L-A09-S03,9,Pendlerachse 9-3,pendlerachse,0.786,80,4.18,1,1
A09-S04,L-A09-S04,9,B145 Tourismusachse 9-4,tourism_b145,0.916,75,5.81,1,1
A10-S01,L-A10-S01,10,Autobahn 10-1,motorway,0.974,110,8.23,1,0
A10-S02,L-A10-S02,10,Schnellstraße 10-2,schnellstrasse,0.874,100,6.07,1,0
A10-S03,L-A10-S03,10,Pendlerachse 10-3,pendlerachse,0.774,80,4.8,1,1
A10-S04,L-A10-S04,10,B145 Tourismusachse 10-4,tourism_b145,0.944,75,5.15,1,0
A11-S01,L-A11-S01,11,Autobahn 11-1,motorway,0.962,110,7.97,0,0
A11-S02,L-A11-S02,11,Schnellstraße 11-2,schnellstrasse,0.862,100,6.4,0,0
A11-S03,L-A11-S03,11,Pendlerachse 11-3,pendlerachse,0.762,80,4.54,0,1
A11-S04,L-A11-S04,11,Regionalachse 11-4,regional,0.662,70,4.09,0,0
A12-S01,L-A12-S01,12,Autobahn 12-1,motorway,0.964,110,8.22,0,1
A12-S02,L-A12-S02,12,Schnellstraße 12-2,schnellstrasse,0.864,100,6.62,0,1
A12-S03,L-A12-S03,12,Pendlerachse 12-3,pendlerachse,0.764,80,4.73,0,1
A12-S04,L-A12-S04,12,Regionalachse 12-4,regional,0.664,70,3.97,0,1
A13-S01,L-A13-S01,13,Autobahn 13-1,motorway,0.946,110,7.78,0,0
A13-S02,L-A13-S02,13,Schnellstraße 13-2,schnellstrasse,0.846,100,6.25,0,0
A13-S03,L-A13-S03,13,Pendlerachse 13-3,pendlerachse,0.746,80,4.34,0,1
A13-S04,L-A13-S04,13,Regionalachse 13-4,regional,0.646,70,3.97,0,0
A14-S01,L-A14-S01,14,Autobahn 14-1,motorway,0.958,110,7.91,0,0
A14-S02,L-A14-S02,14,Schnellstraße 14-2,schnellstrasse,0.858,100,7.32,0,0
A14-S03,L-A14-S03,14,Pendlerachse 14-3,pendlerachse,0.758,80,4.21,0,1
A14-S04,L-A14-S04,14,Regionalachse 14-4,regional,0.658,70,3.42,0,0
A15-S01,L-A15-S01,15,Autobahn 15-1,motorway,0.97,110,8.27,0,1
A15-S02,L-A15-S02,15,Schnellstraße 15-2,schnellstrasse,0.87,100,7.0,0,1
A15-S03,L-A15-S03,15,Pendlerachse 15-3,pendlerachse,0.77,80,4.68,0,1
A15-S04,L-A15-S04,15,Regionalachse 15-4,regional,0.67,70,4.09,0,1
