segmentId,linkId,areaId,timestamp,averageVehicleSpeed,travelTime,trafficStatus
A01-S01,L-A01-S01,1,2026-03-20T13:00:00+00:00,91.31,5.25,free_flow
A01-S01,L-A01-S01,1,2026-03-20T14:00:00+00:00,88.78,5.74,slow
A01-S01,L-A01-S01,1,2026-03-20T15:00:00+00:00,58.13,8.25,congested
A01-S01,L-A01-S01,1,2026-03-20T16:00:00+00:00,55.83,9.09,congested
A01-S01,L-A01-S01,1,2026-03-20T17:00:00+00:00,58.37,7.61,congested
A01-S01,L-A01-S01,1,2026-03-20T18:00:00+00:00,53.42,8.25,congested
A01-S01,L-A01-S01,1,2026-03-20T19:00:00+00:00,89.76,5.71,slow
A01-S01,L-A01-S01,1,2026-03-20T20:00:00+00:00,95.15,4.54,free_flow
A01-S01,L-A01-S01,1,2026-03-20T21:00:00+00:00,94.07,4.85,free_flow
A01-S01,L-A01-S01,1,2026-03-20T22:00:00+00:00,95.68,5.35,free_flow
A01-S01,L-A01-S01,1,2026-03-20T23:00:00+00:00,97.1,4.76,free_flow
A01-S01,L-A01-S01,1,2026-03-21T00:00:00+00:00,94.37,5.12,free_flow
A01-S01,L-A01-S01,1,2026-03-21T01:00:00+00:00,77.88,5.7,slow
A01-S01,L-A01-S01,1,2026-03-21T02:00:00+00:00,88.81,5.6,slow
A01-S01,L-A01-S01,1,2026-03-21T03:00:00+00:00,94.7,4.64,free_flow
A01-S01,L-A01-S01,1,2026-03-21T04:00:00+00:00,102.54,4.7,free_flow
A01-S01,L-A01-S01,1,2026-03-21T05:00:00+00:00,93.38,5.39,free_flow
A01-S01,L-A01-S01,1,2026-03-21T06:00:00+00:00,58.85,8.44,congested
A01-S01,L-A01-S01,1,2026-03-21T07:00:00+00:00,60.97,7.16,congested
A01-S01,L-A01-S01,1,2026-03-21T08:00:00+00:00,57.18,8.37,congested
A01-S01,L-A01-S01,1,2026-03-21T09:00:00+00:00,56.02,8.51,congested
A01-S01,L-A01-S01,1,2026-03-21T10:00:00+00:00,94.85,4.72,free_flow
A01-S01,L-A01-S01,1,2026-03-21T11:00:00+00:00,103.61,4.97,free_flow
A01-S01,L-A01-S01,1,2026-03-21T12:00:00+00:00,101.91,4.55,free_flow
A01-S01,L-A01-S01,1,2026-03-21T13:00:00+00:00,94.56,4.77,free_flow
A01-S01,L-A01-S01,1,2026-03-21T14:00:00+00:00,86.82,5.49,slow
A01-S01,L-A01-S01,1,2026-03-21T15:00:00+00:00,56.16,7.97,congested
A01-S01,L-A01-S01,1,2026-03-21T16:00:00+00:00,58.21,8.22,congested
A01-S01,L-A01-S01,1,2026-03-21T17:00:00+00:00,57.23,8.03,congested
A01-S01,L-A01-S01,1,2026-03-21T18:00:00+00:00,53.84,9.72,congested
A01-S01,L-A01-S01,1,2026-03-21T19:00:00+00:00,94.52,5.24,free_flow
A01-S01,L-A01-S01,1,2026-03-21T20:00:00+00:00,90.86,5.3,free_flow
A01-S01,L-A01-S01,1,2026-03-21T21:00:00+00:00,92.89,5.18,free_flow
A01-S01,L-A01-S01,1,2026-03-21T22:00:00+00:00,87.28,5.45,slow
A01-S01,L-A01-S01,1,2026-03-21T23:00:00+00:00,90.38,5.41,free_flow
A01-S01,L-A01-S01,1,2026-03-22T00:00:00+00:00,91.43,5.41,free_flow
A01-S01,L-A01-S01,1,2026-03-22T01:00:00+00:00,91.13,5.08,free_flow
A01-S01,L-A01-S01,1,2026-03-22T02:00:00+00:00,100.36,4.95,free_flow
A01-S01,L-A01-S01,1,2026-03-22T03:00:00+00:00,92.62,5.2,free_flow
A01-S01,L-A01-S01,1,2026-03-22T04:00:00+00:00,95.9,5.28,free_flow
A01-S01,L-A01-S01,1,2026-03-22T05:00:00+00:00,100.54,4.43,free_flow
A01-S01,L-A01-S01,1,2026-03-22T06:00:00+00:00,55.91,9.26,congested
A01-S01,L-A01-S01,1,2026-03-22T07:00:00+00:00,57.1,7.9,congested
A01-S01,L-A01-S01,1,2026-03-22T08:00:00+00:00,47.63,9.45,congested
A01-S01,L-A01-S01,1,2026-03-22T09:00:00+00:00,53.81,7.95,congested
A01-S01,L-A01-S01,1,2026-03-22T10:00:00+00:00,80.28,6.07,slow
A01-S01,L-A01-S01,1,2026-03-22T11:00:00+00:00,90.99,5.28,free_flow
A01-S01,L-A01-S01,1,2026-03-22T12:00:00+00:00,93.27,4.84,free_flow
