areaId,timestamp,temperatureC,precipitationMm,windKph,icyFlag
1,2026-03-20T13:00:00+00:00,14.69,0.86,6.34,0
1,2026-03-20T14:00:00+00:00,13.69,0.25,28.93,0
1,2026-03-20T15:00:00+00:00,13.65,1.28,11.6,0
1,2026-03-20T16:00:00+00:00,10.14,0.16,13.24,0
1,2026-03-20T17:00:00+00:00,9.43,0.96,17.49,0
1,2026-03-20T18:00:00+00:00,9.74,0.0,8.93,0
1,2026-03-20T19:00:00+00:00,10.23,0.0,14.82,0
1,2026-03-20T20:00:00+00:00,6.47,0.0,8.23,0
1,2026-03-20T21:00:00+00:00,7.78,0.16,19.13,0
1,2026-03-20T22:00:00+00:00,6.73,0.55,11.7,0
1,2026-03-20T23:00:00+00:00,8.2,0.68,8.67,0
1,2026-03-21T00:00:00+00:00,4.59,0.22,12.81,0
1,2026-03-21T01:00:00+00:00,5.79,2.04,7.74,0
1,2026-03-21T02:00:00+00:00,9.49,0.0,16.69,0
1,2026-03-21T03:00:00+00:00,9.26,0.24,4.91,0
1,2026-03-21T04:00:00+00:00,9.75,0.0,19.27,0
1,2026-03-21T05:00:00+00:00,7.96,0.61,27.12,0
1,2026-03-21T06:00:00+00:00,6.79,0.48,12.63,0
1,2026-03-21T07:00:00+00:00,12.65,0.05,14.74,0
1,2026-03-21T08:00:00+00:00,12.13,0.51,17.95,0
1,2026-03-21T09:00:00+00:00,12.27,0.29,19.2,0
1,2026-03-21T10:00:00+00:00,13.22,0.0,27.92,0
1,2026-03-21T11:00:00+00:00,13.35,0.11,18.12,0
1,2026-03-21T12:00:00+00:00,13.67,0.6,11.35,0
1,2026-03-21T13:00:00+00:00,11.57,0.0,18.11,0
1,2026-03-21T14:00:00+00:00,13.49,1.75,14.73,0
1,2026-03-21T15:00:00+00:00,12.91,0.43,11.53,0
1,2026-03-21T16:00:00+00:00,10.16,0.03,17.29,0
1,2026-03-21T17:00:00+00:00,7.36,0.13,19.17,0
1,2026-03-21T18:00:00+00:00,12.34,0.84,14.95,0
1,2026-03-21T19:00:00+00:00,7.81,0.64,16.21,0
1,2026-03-21T20:00:00+00:00,7.03,0.38,25.46,0
1,2026-03-21T21:00:00+00:00,11.54,0.56,9.78,0
1,2026-03-21T22:00:00+00:00,6.59,0.86,19.16,0
1,2026-03-21T23:00:00+00:00,7.42,0.81,17.79,0
1,2026-03-22T00:00:00+00:00,7.54,0.69,27.76,0
1,2026-03-22T01:00:00+00:00,3.45,0.0,9.94,0
1,2026-03-22T02:00:00+00:00,6.76,0.11,12.13,0
1,2026-03-22T03:00:00+00:00,4.62,1.0,18.86,0
1,2026-03-22T04:00:00+00:00,8.02,0.75,24.13,0
1,2026-03-22T05:00:00+00:00,7.63,0.11,10.53,0
1,2026-03-22T06:00:00+00:00,10.89,0.25,17.92,0
1,2026-03-22T07:00:00+00:00,9.98,0.0,28.9,0
1,2026-03-22T08:00:00+00:00,10.66,4.05,17.57,0
1,2026-03-22T09:00:00+00:00,8.52,2.96,3.56,0
1,2026-03-22T10:00:00+00:00,13.29,1.32,17.22,0
1,2026-03-22T11:00:00+00:00,12.86,0.0,23.1,0
1,2026-03-22T12:00:00+00:00,12.47,1.66,11.49,0
1,2026-03-22T13:00:00+00:00,13.56,0.65,12.83,0
1,2026-03-22T14:00:00+00:00,15.51,0.48,15.23,0
1,2026-03-22T15:00:00+00:00,12.02,1.19,7.41,0
1,2026-03-22T16:00:00+00:00,14.25,0.49,20.66,0
1,2026-03-22T17:00:00+00:00,9.11,0.0,27.0,0
1,2026-03-22T18:00:00+00:00,10.18,2.41,12.56,0
1,2026-03-22T19:00:00+00:00,8.89,0.13,2.77,0
1,2026-03-22T20:00:00+00:00,9.38,0.44,26.42,0
1,2026-03-22T21:00:00+00:00,7.7,3.6,3.5,0
1,2026-03-22T22:00:00+00:00,4.01,0.0,27.06,0
1,2026-03-22T23:00:00+00:00,5.91,2.48,10.61,0
1,2026-03-23T00:00:00+00:00,5.81,3.8,25.89,0
1,2026-03-23T01:00:00+00:00,5.76,0.57,10.86,0
1,2026-03-23T02:00:00+00:00,4.33,0.0,25.57,0
1,2026-03-23T03:00:00+00:00,8.44,1.21,14.12,0
1,2026-03-23T04:00:00+00:00,7.11,0.0,9.84,0
1,2026-03-23T05:00:00+00:00,6.69,1.05,20.19,0
1,2026-03-23T06:00:00+00:00,12.95,0.14,15.15,0
1,2026-03-23T07:00:00+00:00,10.21,0.8,6.07,0
1,2026-03-23T08:00:00+00:00,10.56,0.35,10.39,0
1,2026-03-23T09:00:00+00:00,11.87,0.25,10.02,0
1,2026-03-23T10:00:00+00:00,11.67,0.24,17.89,0
1,2026-03-23T11:00:00+00:00,15.4,0.0,11.7,0
1,2026-03-23T12:00:00+00:00,14.62,0.22,15.01,0
2,2026-03-20T13:00:00+00:00,11.96,0.49,9.46,0
2,2026-03-20T14:00:00+00:00,9.17,0.52,17.16,0
2,2026-03-20T15:00:00+00:00,10.96,0.0,10.98,0
2,2026-03-20T16:00:00+00:00,10.57,2.71,11.21,0
2,2026-03-20T17:00:00+00:00,10.5,0.12,13.11,0
2,2026-03-20T18:00:00+00:00,9.95,0.46,23.7,0
2,2026-03-20T19:00:00+00:00,7.97,0.66,14.47,0
2,2026-03-20T20:00:00+00:00,8.42,1.93,18.92,0
2,2026-03-20T21:00:00+00:00,5.76,0.01,14.78,0
2,2026-03-20T22:00:00+00:00,2.87,0.13,17.91,0
2,2026-03-20T23:00:00+00:00,2.0,1.35,6.71,0
2,2026-03-21T00:00:00+00:00,6.08,1.68,8.39,0
2,2026-03-21T01:00:00+00:00,5.28,0.61,23.55,0
2,2026-03-21T02:00:00+00:00,4.74,2.07,11.56,0
2,2026-03-21T03:00:00+00:00,6.08,0.0,20.22,0
2,2026-03-21T04:00:00+00:00,7.39,0.8,24.17,0
2,2026-03-21T05:00:00+00:00,7.12,0.44,17.06,0
2,2026-03-21T06:00:00+00:00,6.97,0.47,10.34,0
2,2026-03-21T07:00:00+00:00,10.01,3.42,15.45,0
2,2026-03-21T08:00:00+00:00,13.5,0.32,3.17,0
2,2026-03-21T09:00:00+00:00,9.84,0.47,12.67,0
2,2026-03-21T10:00:00+00:00,12.21,0.08,15.57,0
2,2026-03-21T11:00:00+00:00,12.17,0.29,17.04,0
2,2026-03-21T12:00:00+00:00,12.83,0.59,14.03,0
2,2026-03-21T13:00:00+00:00,15.23,0.41,16.46,0
2,2026-03-21T14:00:00+00:00,14.05,0.0,16.82,0
2,2026-03-21T15:00:00+00:00,12.04,0.07,9.16,0
2,2026-03-21T16:00:00+00:00,11.09,1.94,17.48,0
2,2026-03-21T17:00:00+00:00,11.62,0.0,15.0,0
2,2026-03-21T18:00:00+00:00,7.55,1.26,6.8,0
2,2026-03-21T19:00:00+00:00,7.03,0.0,13.35,0
2,2026-03-21T20:00:00+00:00,8.18,1.54,22.13,0
2,2026-03-21T21:00:00+00:00,6.56,2.72,15.86,0
2,2026-03-21T22:00:00+00:00,7.19,0.24,13.43,0
2,2026-03-21T23:00:00+00:00,7.44,1.48,21.17,0
2,2026-03-22T00:00:00+00:00,5.4,0.0,9.57,0
2,2026-03-22T01:00:00+00:00,3.78,0.49,14.79,0
2,2026-03-22T02:00:00+00:00,8.85,3.26,24.4,0
2,2026-03-22T03:00:00+00:00,5.82,1.18,8.81,0
2,2026-03-22T04:00:00+00:00,6.73,1.79,25.82,0
2,2026-03-22T05:00:00+00:00,5.68,0.8,18.83,0
2,2026-03-22T06:00:00+00:00,9.43,0.16,12.77,0
2,2026-03-22T07:00:00+00:00,9.86,0.58,16.0,0
2,2026-03-22T08:00:00+00:00,9.33,0.07,25.42,0
2,2026-03-22T09:00:00+00:00,15.81,1.55,15.93,0
2,2026-03-22T10:00:00+00:00,9.88,0.0,15.72,0
2,2026-03-22T11:00:00+00:00,10.13,1.48,15.61,0
2,2026-03-22T12:00:00+00:00,12.61,0.0,10.21,0
2,2026-03-22T13:00:00+00:00,11.31,0.95,13.78,0
2,2026-03-22T14:00:00+00:00,12.19,1.89,10.44,0
2,2026-03-22T15:00:00+00:00,12.21,0.13,17.83,0
2,2026-03-22T16:00:00+00:00,11.54,0.79,18.85,0
2,2026-03-22T17:00:00+00:00,12.07,0.63,13.93,0
2,2026-03-22T18:00:00+00:00,9.5,0.19,19.05,0
2,2026-03-22T19:00:00+00:00,10.07,0.79,13.77,0
2,2026-03-22T20:00:00+00:00,7.31,0.59,16.79,0
2,2026-03-22T21:00:00+00:00,7.13,0.0,16.13,0
2,2026-03-22T22:00:00+00:00,6.44,0.88,14.88,0
2,2026-03-22T23:00:00+00:00,5.53,2.06,10.85,0
2,2026-03-23T00:00:00+00:00,2.13,0.75,19.19,0
2,2026-03-23T01:00:00+00:00,4.99,1.12,0.46,0
2,2026-03-23T02:00:00+00:00,5.14,0.06,12.03,0
2,2026-03-23T03:00:00+00:00,5.17,0.0,12.23,0
2,2026-03-23T04:00:00+00:00,6.59,0.1,8.68,0
2,2026-03-23T05:00:00+00:00,8.59,1.46,6.83,0
2,2026-03-23T06:00:00+00:00,7.31,1.31,18.41,0
2,2026-03-23T07:00:00+00:00,10.42,1.24,12.95,0
2,2026-03-23T08:00:00+00:00,11.09,0.0,7.21,0
2,2026-03-23T09:00:00+00:00,11.0,0.2,6.38,0
2,2026-03-23T10:00:00+00:00,14.21,0.66,16.58,0
2,2026-03-23T11:00:00+00:00,16.4,0.26,23.33,0
2,2026-03-23T12:00:00+00:00,12.51,8.61,10.8,0
3,2026-03-20T13:00:00+00:00,9.88,0.0,16.61,0
3,2026-03-20T14:00:00+00:00,11.07,0.97,15.14,0
3,2026-03-20T15:00:00+00:00,9.61,0.31,4.61,0
